Name;MSCI WORLD U$ - PRICE INDEX;;;
11/22/71;97,521;;;
11/23/71;97,521;;;
11/24/71;97,521;;;
11/25/71;97,521;;;
11/26/71;97,801;;;
11/29/71;97,801;;;
11/30/71;100,176;;;
12/1/71;100,176;;;
12/2/71;100,176;;;
12/3/71;102,863;;;
12/6/71;102,863;;;
12/7/71;102,863;;;
12/8/71;102,863;;;
12/9/71;102,863;;;
12/10/71;105,529;;;
12/13/71;105,529;;;
12/14/71;105,529;;;
12/15/71;105,529;;;
12/16/71;105,529;;;
12/17/71;106,597;;;
12/20/71;106,597;;;
12/21/71;106,597;;;
12/22/71;106,597;;;
12/23/71;106,597;;;
12/24/71;107,622;;;
12/27/71;107,622;;;
12/28/71;107,622;;;
12/29/71;107,622;;;
12/30/71;107,622;;;
12/31/71;108,993;;;
1/3/72;104,254;;;
1/4/72;104,618;;;
1/5/72;105,63;;;
1/6/72;110,832;;;
1/7/72;110,855;;;
1/10/72;110,513;;;
1/11/72;110,98;;;
1/12/72;111,209;;;
1/13/72;110,703;;;
1/14/72;111,168;;;
1/17/72;111,609;;;
1/18/72;111,848;;;
1/19/72;111,913;;;
1/20/72;112,035;;;
1/21/72;111,893;;;
1/24/72;110,962;;;
1/25/72;110,97;;;
1/26/72;111,017;;;
1/27/72;111,977;;;
1/28/72;112,707;;;
1/31/72;112,774;;;
2/1/72;112,791;;;
2/2/72;113,405;;;
2/3/72;113,377;;;
2/4/72;113,423;;;
2/7/72;113,192;;;
2/8/72;113,398;;;
2/9/72;114,029;;;
2/10/72;114,429;;;
2/11/72;113,959;;;
2/14/72;113,54;;;
2/15/72;114,015;;;
2/16/72;114,449;;;
2/17/72;114,754;;;
2/18/72;114,828;;;
2/21/72;114,924;;;
2/22/72;114,95;;;
2/23/72;115,422;;;
2/24/72;115,775;;;
2/25/72;116,491;;;
2/28/72;116,633;;;
2/29/72;116,888;;;
3/1/72;117,385;;;
3/2/72;117,408;;;
3/3/72;117,893;;;
3/6/72;118,423;;;
3/7/72;118,635;;;
3/8/72;118,703;;;
3/9/72;118,863;;;
3/10/72;118,435;;;
3/13/72;117,622;;;
3/14/72;117,852;;;
3/15/72;118,067;;;
3/16/72;118,017;;;
3/17/72;118,299;;;
3/20/72;117,968;;;
3/21/72;117,504;;;
3/22/72;117,813;;;
3/23/72;118,477;;;
3/24/72;118,205;;;
3/27/72;118,183;;;
3/28/72;118,133;;;
3/29/72;117,779;;;
3/30/72;118,297;;;
3/31/72;118,297;;;
4/3/72;118,667;;;
4/4/72;119,214;;;
4/5/72;119,974;;;
4/6/72;120,425;;;
4/7/72;120,696;;;
4/10/72;120,62;;;
4/11/72;120,69;;;
4/12/72;121,522;;;
4/13/72;121,49;;;
4/14/72;121,275;;;
4/17/72;120,876;;;
4/18/72;121,111;;;
4/19/72;120,656;;;
4/20/72;120,695;;;
4/21/72;120,582;;;
4/24/72;119,903;;;
4/25/72;119,227;;;
4/26/72;119,037;;;
4/27/72;119,177;;;
4/28/72;119,654;;;
5/1/72;119,654;;;
5/2/72;118,621;;;
5/3/72;118,546;;;
5/4/72;118,653;;;
5/5/72;118,996;;;
5/8/72;118,523;;;
5/9/72;117,165;;;
5/10/72;117,706;;;
5/11/72;118,26;;;
5/12/72;118,848;;;
5/15/72;119,498;;;
5/16/72;119,451;;;
5/17/72;119,728;;;
5/18/72;120,58;;;
5/19/72;121,547;;;
5/22/72;121,925;;;
5/23/72;122,008;;;
5/24/72;122,38;;;
5/25/72;122,679;;;
5/26/72;122,814;;;
5/29/72;122,929;;;
5/30/72;122,516;;;
5/31/72;121,882;;;
6/1/72;121,932;;;
6/2/72;122,05;;;
6/5/72;121,516;;;
6/6/72;121,001;;;
6/7/72;120,388;;;
6/8/72;120,096;;;
6/9/72;119,715;;;
6/12/72;119,837;;;
6/13/72;120,098;;;
6/14/72;120,736;;;
6/15/72;120,521;;;
6/16/72;120,416;;;
6/19/72;120,514;;;
6/20/72;120,857;;;
6/21/72;121,052;;;
6/22/72;120,786;;;
6/23/72;120,549;;;
6/26/72;123,363;;;
6/27/72;123,513;;;
6/28/72;122,993;;;
6/29/72;122,781;;;
6/30/72;118,841;;;
7/3/72;119,28;;;
7/4/72;118,948;;;
7/5/72;119,559;;;
7/6/72;120,541;;;
7/7/72;120,339;;;
7/10/72;119,964;;;
7/11/72;119,589;;;
7/12/72;119,245;;;
7/13/72;118,85;;;
7/14/72;119,238;;;
7/17/72;118,645;;;
7/18/72;118,549;;;
7/19/72;119,003;;;
7/20/72;118,801;;;
7/21/72;119,297;;;
7/24/72;120,186;;;
7/25/72;120,236;;;
7/26/72;120,261;;;
7/27/72;120,057;;;
7/28/72;120,197;;;
7/31/72;120,466;;;
8/1/72;121,359;;;
8/2/72;122,085;;;
8/3/72;122,932;;;
8/4/72;123,276;;;
8/7/72;123,272;;;
8/8/72;123,258;;;
8/9/72;123,23;;;
8/10/72;123,434;;;
8/11/72;124,152;;;
8/14/72;124,613;;;
8/15/72;124,44;;;
8/16/72;124,212;;;
8/17/72;123,983;;;
8/18/72;124,26;;;
8/21/72;124,24;;;
8/22/72;124,665;;;
8/23/72;124,675;;;
8/24/72;124,188;;;
8/25/72;123,455;;;
8/28/72;123,107;;;
8/29/72;123,096;;;
8/30/72;123,324;;;
8/31/72;123,678;;;
9/1/72;123,989;;;
9/4/72;123,891;;;
9/5/72;123,62;;;
9/6/72;123,063;;;
9/7/72;122,964;;;
9/8/72;122,718;;;
9/11/72;121,901;;;
9/12/72;121,083;;;
9/13/72;121,361;;;
9/14/72;121,273;;;
9/15/72;121,314;;;
9/18/72;120,814;;;
9/19/72;120,457;;;
9/20/72;120,47;;;
9/21/72;120,336;;;
9/22/72;120,121;;;
9/25/72;120,079;;;
9/26/72;120,099;;;
9/27/72;120,958;;;
9/28/72;121,299;;;
9/29/72;121,59;;;
10/2/72;121,523;;;
10/3/72;122,534;;;
10/4/72;121,782;;;
10/5/72;121,93;;;
10/6/72;121,39;;;
10/9/72;121,329;;;
10/10/72;121,478;;;
10/11/72;121,612;;;
10/12/72;120,681;;;
10/13/72;120,104;;;
10/16/72;119,062;;;
10/17/72;119,361;;;
10/18/72;120,002;;;
10/19/72;119,896;;;
10/20/72;120,518;;;
10/23/72;121,463;;;
10/24/72;121,627;;;
10/25/72;121,467;;;
10/26/72;121,827;;;
10/27/72;121,559;;;
10/30/72;121,542;;;
10/31/72;122,381;;;
11/1/72;123,34;;;
11/2/72;123,773;;;
11/3/72;124,439;;;
11/6/72;124,542;;;
11/7/72;124,649;;;
11/8/72;124,208;;;
11/9/72;124,162;;;
11/10/72;124,569;;;
11/13/72;124,931;;;
11/14/72;125,92;;;
11/15/72;125,707;;;
11/16/72;126,443;;;
11/17/72;126,437;;;
11/20/72;126,499;;;
11/21/72;126,961;;;
11/22/72;127,676;;;
11/23/72;127,729;;;
11/24/72;128,026;;;
11/27/72;127,976;;;
11/28/72;128,006;;;
11/29/72;128,234;;;
11/30/72;128,591;;;
12/1/72;128,962;;;
12/4/72;129,206;;;
12/5/72;129,061;;;
12/6/72;129,474;;;
12/7/72;129,696;;;
12/8/72;130,042;;;
12/11/72;130,179;;;
12/12/72;129,784;;;
12/13/72;129,555;;;
12/14/72;129,371;;;
12/15/72;129,363;;;
12/18/72;128,389;;;
12/19/72;128,033;;;
12/20/72;127,941;;;
12/21/72;127,431;;;
12/22/72;128,168;;;
12/25/72;128,168;;;
12/26/72;128,793;;;
12/27/72;129,064;;;
12/28/72;129,643;;;
12/29/72;130,737;;;
1/1/73;130,737;;;
1/2/73;132,981;;;
1/3/73;133,413;;;
1/4/73;133,863;;;
1/5/73;134,22;;;
1/8/73;134,379;;;
1/9/73;134,395;;;
1/10/73;134,328;;;
1/11/73;134,811;;;
1/12/73;134,217;;;
1/15/73;133,592;;;
1/16/73;133,165;;;
1/17/73;133,656;;;
1/18/73;133,684;;;
